species,average_precision_autogluon,average_precision_linear_probe,auroc_autogluon,auroc_linear_probe,delta_ap
Cisticola juncidis,0.5647769459897607,0.5518259976212314,0.9919057098135293,0.9913706274669933,0.01295094836852928
Tephrodornis virgatus,0.07851939527060067,0.06604825218582461,0.9895476300756523,0.9852215531882044,0.012471143084776065
Psittacara leucophthalmus,0.056779950122341424,0.044344276463627055,0.9871405108851382,0.9912639340252297,0.012435673658714369
Prionochilus percussus,0.36597302612501686,0.35422938763444406,0.9657467532467532,0.9826346447669977,0.011743638490572805
Pheugopedius genibarbis,0.043291639592809184,0.03192994799745896,0.9904985321870413,0.9924250366953239,0.01136169159535022
Bathmocercus rufus,0.36595056529451153,0.35614776825499006,0.9228280021686095,0.9186526761242131,0.009802797039521471
Serinus canicollis,0.5924752475247526,0.5827472527472528,0.9916325888644226,0.9922826884764601,0.009727994777499749
Melanocorypha calandra,0.10483091787439613,0.09523809523809523,0.9893343815513626,0.9954402515723271,0.009592822636300902
Buccanodon duchaillui,0.5303030303030303,0.5217391304347826,0.9984276729559749,0.9976939203354297,0.008563899868247682
Passer domesticus,0.12037645243431477,0.11198108854039204,0.8997738836318078,0.924691531269304,0.00839536389392273
Pycnonotus barbatus,0.250768133838063,0.2424538757903459,0.9802218927146756,0.9916281755196305,0.008314258047717099
Orthotomus atrogularis,0.33178779506125894,0.3235305817117487,0.9199631601410696,0.9193010267880543,0.00825721334951024
Gracula religiosa,0.22487157797999227,0.2168248945102111,0.9068332599801132,0.9051695681940438,0.008046683469781157
Cyanolyca armillata,0.9909090909090909,0.9833333333333333,0.9999895090222409,0.9999790180444817,0.007575757575757569
Cossypha niveicapilla,0.08046709337432881,0.0728956720172573,0.9959211492083464,0.996036489462095,0.007571421357071506
Chrysocolaptes guttacristatus,0.7626839826839826,0.7552795298917732,0.9969576164498531,0.9912400335711289,0.0074044527922094705
Turdus viscivorus,0.4895214547512631,0.4839152835530345,0.9544306633950679,0.9585784231342364,0.005606171198228593
Pomatorhinus montanus,0.3846861903829462,0.38037273768699903,0.9493253666545458,0.9595394458952688,0.004313452695947184
Turdus leucomelas,0.37751153736416365,0.3733566864711316,0.9836228193168702,0.9900706784559477,0.004154850893032025
Biatas nigropectus,0.5097087378640777,0.5062111801242236,0.9948899371069182,0.9916666666666666,0.0034975577398540514
Euphonia chlorotica,0.5053191489361702,0.5037593984962406,0.9905398322851152,0.9861635220125786,0.0015597504399296191
Thripadectes flammulatus,1.0,1.0,1.0,1.0,0.0
Systellura longirostris,1.0,1.0,1.0,1.0,0.0
Cercococcyx mechowi,1.0,1.0,1.0,1.0,0.0
Pellorneum tickelli,1.0,1.0,1.0,1.0,0.0
Trogon personatus,1.0,1.0,1.0,1.0,0.0
Cyanocorax yncas,1.0,1.0,0.9999999999999999,1.0,0.0
Scytalopus pachecoi,1.0,1.0,0.9999999999999999,1.0,0.0
Dendrocopos leucotos,1.0,1.0,0.9999999999999999,1.0,0.0
Strix aluco,1.0,1.0,0.9999999999999999,1.0,0.0
Jynx torquilla,1.0,1.0,1.0,1.0,0.0
Tricholaema hirsuta,1.0,1.0,1.0,1.0,0.0
Lanius meridionalis,1.0,1.0,1.0,1.0,0.0
Automolus ochrolaemus,1.0,1.0,1.0,1.0,0.0
Cranioleuca vulpina,0.25,0.25,0.9997379729588094,0.9996855675505713,0.0
Ficedula parva,1.0,1.0,1.0,1.0,0.0
Dicrurus aeneus,1.0,1.0,1.0,1.0,0.0
Telophorus multicolor,1.0,1.0,0.9999999999999999,1.0,0.0
Gallinula chloropus,0.5016666666666667,0.5016666666666667,0.9995071825521653,0.9994966970745517,0.0
Megabyas flammulatus,1.0,1.0,1.0,1.0,0.0
Dryobates minor,1.0,1.0,1.0,1.0,0.0
Cercomacra melanaria,0.35673073077595563,0.35708143376624757,0.9881203061340141,0.9912152502301572,-0.0003507029902919401
